sesion,zona,clase,tiene_mina,parche_x,parche_y,proba,proba_concuota
6,MINA_7CM_2,Fondo,0,832,704,0.11344042588025331,0.176687653362751
6,MINA_7CM_2,Fondo,0,896,704,0.42466137558221817,0.3502279371023178
6,MINA_7CM_2,Fondo,0,960,704,0.031579511472955346,0.01914833760820329
6,MINA_7CM_2,Fondo,0,1024,704,0.011605853564105928,0.011544293654151262
6,MINA_7CM_2,Fondo,0,1088,704,0.011819043848663568,0.008011056540999562
6,ZONA_CONTROL,Control,0,0,0,0.0008287541684694588,0.0038566643721424042
6,ZONA_CONTROL,Control,0,64,0,0.0005382362782256678,0.0011315137147903443
6,ZONA_CONTROL,Control,0,128,0,0.0006889088850584813,0.004594950482714921
6,ZONA_CONTROL,Control,0,192,0,0.0007310942222829908,0.002181332150939852
6,ZONA_CONTROL,Control,0,256,0,0.0016451627889182419,0.004039196984376758
6,ZONA_CONTROL,Control,0,320,0,0.0016490336158312858,0.0056832768721506
6,ZONA_CONTROL,Control,0,384,0,0.001328870578436181,0.0025342582142911852
6,ZONA_CONTROL,Control,0,448,0,0.0010133243951713667,0.0026030627603176983
6,ZONA_CONTROL,Control,0,512,0,0.0036242337839212267,0.04162787515670061
6,ZONA_CONTROL,Control,0,576,0,0.0344157088547945,0.3455599740147591
6,ZONA_CONTROL,Control,0,640,0,0.005771862296387553,0.020580435008741915
6,ZONA_CONTROL,Control,0,704,0,0.0007275279378518463,0.00907472085673362
6,ZONA_CONTROL,Control,0,768,0,0.0003492196701699868,0.002407745987875387
6,ZONA_CONTROL,Control,0,832,0,0.00026226826448692007,0.0036891917232424023
6,ZONA_CONTROL,Control,0,896,0,0.0009719587134895847,0.006649859593017027
6,ZONA_CONTROL,Control,0,960,0,0.0007788653208990581,0.0036374447285197676
6,ZONA_CONTROL,Control,0,1024,0,0.003044329863041639,0.008936515729874372
6,ZONA_CONTROL,Control,0,1088,0,0.0025479850242845713,0.019483053917065264
6,ZONA_CONTROL,Control,0,0,64,0.0010589578538201748,0.0025859193527139725
6,ZONA_CONTROL,Control,0,64,64,0.001033270201878622,0.00471763483947143
6,ZONA_CONTROL,Control,0,128,64,0.000879930958035402,0.002547604503342882
6,ZONA_CONTROL,Control,0,192,64,0.0007758110863505862,0.001078541540482547
6,ZONA_CONTROL,Control,0,256,64,0.0005341681360732764,0.0015176171087659895
6,ZONA_CONTROL,Control,0,320,64,0.0003802915729465894,0.001046378430328332
6,ZONA_CONTROL,Control,0,384,64,0.0006153521448140964,0.0018209566449513658
6,ZONA_CONTROL,Control,0,448,64,0.0013881610590033232,0.0019175371853634715
6,ZONA_CONTROL,Control,0,512,64,0.0016636468761134892,0.004680537409149111
6,ZONA_CONTROL,Control,0,576,64,0.0050103165092878045,0.013118382869288325
6,ZONA_CONTROL,Control,0,640,64,0.0007516871701227501,0.005281029036268592
6,ZONA_CONTROL,Control,0,704,64,0.0008259151625679805,0.003039263054961339
6,ZONA_CONTROL,Control,0,768,64,0.00039635516586713495,0.0031716610421426593
6,ZONA_CONTROL,Control,0,832,64,0.00020280717981222552,0.0022239743208047
6,ZONA_CONTROL,Control,0,896,64,0.0015030740440124645,0.005315704143140465
6,ZONA_CONTROL,Control,0,960,64,0.0024137657135725023,0.00558122496586293
6,ZONA_CONTROL,Control,0,1024,64,0.0009444537106901407,0.0017652250069659203
6,ZONA_CONTROL,Control,0,1088,64,0.0004158388081123121,0.0009519654005998746
6,ZONA_CONTROL,Control,0,0,128,0.0026363969314843415,0.003270113980397582
